ECG Lead I Value,Lead Off,Pace Flag,R Flag
4,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
2,0,0,0
4,0,0,0
2,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
2,0,0,0
4,0,0,0
3,0,0,0
2,0,0,0
4,0,0,0
2,0,0,0
3,0,0,0
-2,128,64,32
-5,128,64,32
-3,128,64,32
-5,128,64,32
-4,128,64,32
-4,128,64,32
-7,128,64,32
-6,128,64,32
-4,128,64,32
-5,128,64,32
-3,128,64,32
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
2,0,0,0
4,0,0,0
2,0,0,0
0,0,0,0
-12,128,64,32
-41,128,64,32
-71,128,64,32
-93,128,64,32
-70,128,64,32
-14,128,64,32
30,0,0,0
47,0,0,0
36,0,0,0
21,0,0,0
11,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
-5,128,64,32
-4,128,64,32
-4,128,64,32
-4,128,64,32
-4,128,64,32
-4,128,64,32
-5,128,64,32
-4,128,64,32
-10,128,64,32
-11,128,64,32
-12,128,64,32
-12,128,64,32
-12,128,64,32
-15,128,64,32
-19,128,64,32
-19,128,64,32
-19,128,64,32
-18,128,64,32
-12,128,64,32
-11,128,64,32
-10,128,64,32
-6,128,64,32
-3,128,64,32
-2,128,64,32
5,0,0,0
5,0,0,0
5,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
2,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
2,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
-4,128,64,32
-3,128,64,32
-4,128,64,32
-4,128,64,32
-5,128,64,32
-4,128,64,32
-9,128,64,32
-5,128,64,32
-5,128,64,32
-4,128,64,32
-1,128,64,32
4,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
-2,128,64,32
-22,128,64,32
-52,128,64,32
-82,128,64,32
-89,128,64,32
-50,128,64,32
6,0,0,0
40,0,0,0
44,0,0,0
30,0,0,0
15,0,0,0
7,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
-1,128,64,32
-4,128,64,32
-5,128,64,32
-4,128,64,32
-5,128,64,32
-4,128,64,32
-4,128,64,32
-4,128,64,32
-5,128,64,32
-12,128,64,32
-12,128,64,32
-11,128,64,32
-12,128,64,32
-12,128,64,32
-18,128,64,32
-19,128,64,32
-18,128,64,32
-19,128,64,32
-14,128,64,32
-11,128,64,32
-11,128,64,32
-10,128,64,32
-4,128,64,32
-3,128,64,32
0,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
5,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
0,0,0,0
-5,128,64,32
-5,128,64,32
-4,128,64,32
-4,128,64,32
-5,128,64,32
-5,128,64,32
-10,128,64,32
-6,128,64,32
-4,128,64,32
-4,128,64,32
1,0,0,0
2,0,0,0
2,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
3,0,0,0
-7,128,64,32
-33,128,64,32
-63,128,64,32
-91,128,64,32
-78,128,64,32
-29,128,64,32
21,0,0,0
46,0,0,0
40,0,0,0
24,0,0,0
12,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
-3,128,64,32
-5,128,64,32
-4,128,64,32
-5,128,64,32
-4,128,64,32
-4,128,64,32
-5,128,64,32
-4,128,64,32
-7,128,64,32
-12,128,64,32
-12,128,64,32
-12,128,64,32
-11,128,64,32
-12,128,64,32
-18,128,64,32
-19,128,64,32
-19,128,64,32
-18,128,64,32
-12,128,64,32
-11,128,64,32
-11,128,64,32
-8,128,64,32
-3,128,64,32
-4,128,64,32
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
5,0,0,0
4,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
-3,128,64,32
-4,128,64,32
-5,128,64,32
-4,128,64,32
-3,128,64,32
-5,128,64,32
-7,128,64,32
-7,128,64,32
-4,128,64,32
-4,128,64,32
-3,128,64,32
4,0,0,0
3,0,0,0
2,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
1,0,0,0
-13,128,64,32
-44,128,64,32
-74,128,64,32
-93,128,64,32
-64,128,64,32
-9,128,64,32
34,0,0,0
48,0,0,0
36,0,0,0
19,0,0,0
9,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
1,0,0,0
-4,128,64,32
-5,128,64,32
-3,128,64,32
-5,128,64,32
-5,128,64,32
-4,128,64,32
-4,128,64,32
-4,128,64,32
-10,128,64,32
-12,128,64,32
-12,128,64,32
-11,128,64,32
-11,128,64,32
-15,128,64,32
-19,128,64,32
-18,128,64,32
-18,128,64,32
-16,128,64,32
-11,128,64,32
-11,128,64,32
-11,128,64,32
-5,128,64,32
-3,128,64,32
-2,128,64,32
3,0,0,0
5,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
5,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
4,0,0,0
3,0,0,0
5,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
4,0,0,0
